name, score
Aamer Hameed  (Pakistan),0
Aamer Hanif  (Pakistan),89
Aamer Malik  (Pakistan),556
Aamer Yamin  (Pakistan),95
Aamir Nazir  (Pakistan),13
Aamir Sohail  (Pakistan),4780
Aaqib Javed  (Pakistan),267
Aarif Sheikh  (Nepal),94
Varun Aaron  (India),8
Josephat Ababu  (Kenya),29
Kyle Abbott  (South Africa),76
Sean Abbott  (Australia),3
Abdul Jabbar  (Canada),59
Abdul Qadir  (Pakistan),641
Abdul Razzaq  (Pakistan / ACC Asian XI),5080
Abdul Rehman  (United Arab Emirates),1
Abdul Shakoor  (United Arab Emirates),54
Abdullah Mazari  (Afghanistan),3
Abdur Rauf  (Pakistan),0
Abdur Razzak  (Bangladesh),779
Abdur Rehman  (Pakistan),142
Abid Ali  (Pakistan),117
Syed Abid Ali  (India),93
Shafiek Abrahams  (South Africa),16
Abu Hider  (Bangladesh),1
Abu Jayed  (Bangladesh),0
Abul Hasan  (Bangladesh),11
Mark Adair  (Ireland),93
Andre Adams  (New Zealand),419
Christopher Adams  (England),71
Jimmy Adams  (West Indies),2204
Paul Adams  (South Africa),66
Adeel Raja  (Netherlands),28
Adnan Akmal  (Pakistan),62
Adnan Mufti  (United Arab Emirates),330
Afsar Zazai  (Afghanistan),264
Aftab Ahmed  (Bangladesh),1954
Aftab Alam  (Afghanistan),66
Afzaal Haider  (Hong Kong),22
Rageg Aga  (Kenya),150
Ashton Agar  (Australia),144
Ajit Agarkar  (India),1269
Jonathan Agnew  (England),2
Saliya Ahangama  (Sri Lanka),0
Khaleel Ahmed  (India),9
Ahmed Kamal  (Bangladesh),11
Ahmed Raza  (United Arab Emirates),232
Ahmed Shah  (Afghanistan),2
Ahmed Shehzad  (Pakistan),2605
Ahsan Malik  (Netherlands),14
Aijaz Ali  (United States),5
Dipendra Singh Airee  (Nepal),108
Aizaz Cheema  (Pakistan),26
Aizaz Khan  (Hong Kong),260
Ajmal Shahzad  (England),39
Akhtar Sarfraz  (Pakistan),66
Akram Khan  (Bangladesh),976
Akram Raza  (Pakistan),193
Al Sahariar Rokon  (Bangladesh),374
Alam Talukdar  (Bangladesh),7
Al-Amin Hossain  (Bangladesh),4
Alawi Shukri  (United Arab Emirates),1
Terry Alderman  (Australia),32
Graeme Aldridge  (New Zealand),0
Rohan Alexander  (United States),34
Moeen Ali  (England),1691
Rajab Ali  (Kenya),7
